founder,location,UG degree,UG school,g year,G degree,G school,g year,prof summary,early career,mid career,late career,key achievements,selected company,motivation,vision/mission,personal input,sources
Kunal Agarwal,"Palo Alto, California, United States",BS in Computer & Electrical Engineering,Valparaiso University,"2,007",MBA,Duke University,"2,012",,,,,,Unravel Data,,,,
David Aktary,"Austin, Texas, United States",BS in Computer Science,University of Michigan - Dearborn,"2,003",MBA,Duke University,"2,007",,,,,,ERC dEX,,,,
David Albert,"Santa Monica, California, United States",AB in Government,Harvard University,"1,977",MD,Duke University,"1,983",,,,,,AliveCor,,,,
Ethan Anderson,"Los Angeles, California, United States","BA in Economics, Public Policy, MMS",Duke University,"1,998",MBA,Harvard University,"2,003",,,,,,MyTime,,,,
Jennifer Beall,"Los Angeles, California, United States","BS in Mathematics, Spanish Minor",Duke University,"2,005",MBA,Northwestern University,"2,010",,,,,,TotSquad,,,,
Jason Begleiter,"Boulder, Colorado, United States",BSE in Electrical and Computer Engineering,Duke University,"2,010",,,,,,,,,Parachute Health,,,,
Brooks Bell,"Raleigh, North Carolina, United States",BA in Psychology,Duke University,"2,001",,,,,,,,,Brooks Bell,,,,
Ari Bencuya,"Istanbul, Turkey","BS in Economics, MMS",Duke University,"2,006",,,,,,,,,8Digits,,,,
Melissa Bernstein,"Westport, Connecticut, United States",BA in Public Policy,Duke University,"1,987",,,,,,,,,Melissa & Doug,,,,
Manick Bhan,"Las Vegas, Nevada, United States","BS in Psychology, MMS",Duke University,"2,009",,,,,,,,,Rukkus,,,,
Tatiana Birgisson,San Francisco Bay Area,BS in Economics,Duke University,"2,012",,,,,,,,,MATI Energy,,,,
Lisa Blau,"New York, New York, United States",BA in Public Policy,Duke University,"1,997",MBA,Harvard University,"2,003",,,,,,Able Partners,,,,
Bant Breen,"New York, New York, United States","BA in History, Art & Art History",Duke University,"1,993",MA,University of Cambridge,"1,995",,,,,,Qnary,,,,
Tyler Brock,"Charlotte, NC, US","BS in Economics, Computer Science, MMS",Duke University,"2,007",,,,,,,,,"Hustle, Inc.",,,,
Anne Claire Broughton,"Durham, North Carolina, United States","BA in English, Environmental Studies",Oberlin College,"1,989",Certificate in Nonprofit Management,Duke University,"2,004",,,,,,SJF Institute,,,,
Bill Brown,"New York, New York, United States",BS in Molecular Biology,Massachusetts Institute of Technology,"1,977",JD,Duke University,"1,980",,,,,,NET Power,,,,
Andrew Busey,"Austin, Texas, United States","BA in Computer Science, MMS",Duke University,"1,993",MBA,University of Pennsylvania,"2,005",,,,,,Conversable,,,,
Blake Byrnes,"Atlanta, Georgia, United States","BA in Computer Science, History Minor",Duke University,"2,002",,,,,,,,,Ulixee,,,,
Sonny Caberwal,San Francisco Bay Area,BA in International Business & Globalization (Program II),Duke University,"2,004",JD,Georgetown University,"2,004",,,,,,BOND,,,,
Scott Cadora,Atlanta Metropolitan Area,"BS in Industrial Management, BS in Foreign Studies",Georgia Institute of Technology,"1992, 1993",MBA,Duke University,"2,010",,,,,,Medicare Pathfinder,,,,
Ryan Caldbeck,San Franciso Bay Area,"BA in Public Policy, Psychology",Duke University,"2,001",MBA,Stanford University,"2,005",,,,,,CircleUp,,,,
Marcelo Camberos,United States,"BA in Economics, French",Duke University,"1,998",MBA,Stanford University,"2,007",,,,,,Ipsy ,,,,
