founder,location,UG degree,UG school,g year,G degree,G school,g year,prof summary,early career,mid career,late career,key achievements,selected company,motivation,vision/mission,personal input,sources
Kunal Agarwal,"Palo Alto, California, United States",BS in Computer & Electrical Engineering,Valparaiso University,2007,MBA,Duke University,2012,"Kunal Agarwal is a seasoned entrepreneur and technology leader, currently serving as the Co-founder and CEO of Unravel Data. He has 15 years of experience in the computer software industry and his career trajectory, spanning roles in sales, implementation, and entrepreneurship, reflects a consistent focus on big data and cloud technologies.","He began his professional journey in 2006 as a Grid Computing Specialist at Sun Microsystems, where he helped run their Grid Computing Engine. Following this, Agarwal transitioned to a role as a Business Intelligence Consultant at Express Scripts, futuring his work in the field. These industry roles sufficiently laid the groundwork for his future endeavors.","His career progression led him to eOne Infotech, where he served as a Sales Director from 2007-2014, leading sales and implementation of Oracle products for several Fortune 100 organizations. From there, he co-founded Yuuze.com, a fashion networking website, giving personalized recommendations on what-to-wear; it was this endeavor that solidified his passion for entrepreneurship.","In 2013, Agarwal's professional journey culminated in the co-founding of Unravel Data Systems alongside Shivnath Babu. As CEO, he has steered the company's growth from a small team to a global operation, focusing on leveraging AI to streamline data operations for large enterprises, now used by numerous Fortune 100 companies.","Unravel Data has raised over $67 million in funding from prominent investors like Menlo Ventures, GGV Capital, and Microsoft's M12 Ventures; Recognized as a Gartner Cool Vendor in Performance Analysis for 2019; Holds patents related to data performance management and optimization techniques",Unravel Data,"Kunal Agarwal's journey to founding Unravel Data was inspired by his firsthand experience with the complexities of managing cloud data operations. During his time in various tech roles, he identified a significant gap in the market for tools that could streamline these processes effectively, especially highlighted by increasing adoption of cloud technologies and the growing volumes of data being processed by enterprises.","At its core, Unravel Data aims to simplify data operations and modernization through AI-driven solutions. The company strives to position itself as the definitive platform for optimizing modern data pipelines and facilitating cloud migrations, catering to the needs of data professionals across industries.","Agarwal's perspective on the evolution of data workloads underscores Unravel's mission: ""We've gone from a place where these data workloads are experimental to now these data workloads running the business. And when you're doing that, you need to make sure that everything is running properly."" And so, he loves ""watching the team go from strength to strength in the unselfish pursuit of a shared vision.""","https://www.atscale.com/podcast/data-observability-with-kunal-agarwal/, https://councils.forbes.com/profile/Kunal-Agarwal-Chief-Excecutive-Officer-Unravel-Data/94c2fe1a-a2de-468f-90a1-46faf9890a4e"
David Aktary,"Austin, Texas, United States",BS in Computer Science,University of Michigan - Dearborn,2003,MBA,Duke University,2007,"David Aktary is a seasoned entrepreneur and technologist with over 25 years of experience in the tech industry. He was the CEO and Founder of ERC dEX, a decentralized crypto exchange, and has co-founded multiple startups including onBrief, AktaryTech, and Keccak Capital. His experiences spans software development, venture capital, investment banking, and blockchain technology.","After a stint at Michigan State University, Aktary began his career in tech in 1996 at a small ISP in central Michigan. Shortly after, he spent six years at IBM as a web developer, project manager, and business development manager, consulting for major clients like Ford, Chrysler, and the US Postal Service., before returning to school for his MBA.","As a result of his MBA studies, Aktary made a slight career pivot, interning in venture capital and as a tech, media, and telecom investment banker for JPMorgan. Following such, and after spending some time in industry, Aktary made an even bigger pivot into entrepreneurship, founding his own company, AktaryTech, centered around building blockchain solutions and adivising other early-stage startups in the space.","He has since pivoted his focus fully towards blockchain and cryptocurrency technologies, co-founding multiple startups, including onBrief (a marketing tech SaaS), ERC dEX (a non-custodial blockchain trading platform), and Keccak Capital (a crypto hedge fund). Of the three, his ethos was best reflected in ERC dEX, where he grew trading volume to ~1M in less than 10 months, with an ambitious goal to be the first global, non-custodial trading platform for crypto.",Selected as a mentor for SXSW 2024; Former USC Lacrosse Head Coach ,ERC dEX,"David Aktary founded ERC dEX driven by his desire to address the critical issue of liquidity fragmentation in decentralized exchanges, which he saw as a major barrier to widespread adoption of cryptocurrency trading. Hence, his conviction stemmed from the belief that a well-designed decentralized exchange could bridge the gap between traditional finance and the emerging world of decentralized trading, ultimately democratizing access to the token economy.","ERC dEX's mission was to onboard the world to the token economy by providing a compliant, user-friendly, and liquidity-rich platform for trading ERC20 tokens. The company aimed to stand out in the market by implementing innovative features like the Aqueduct liquidity network and focusing on regulatory compliance to ensure long-term sustainability.","""My expertise lies in identifying industries ripe for disruption,"" Aktary states. Fittingly, he envisioned ERC dEX as a catalyst for the widespread adoption of decentralized finance: ""The level of loss unsuspecting investors .""",https://medium.com/tokendaily/david-aktary-founder-erc-dex-b1cdf722486e 
David Albert,"Santa Monica, California, United States",AB in Government,Harvard University,1977,MD,Duke University,1983,"Dr. David Albert is the Founder and Chief Medical Officer of AliveCor Inc., a leading company in the medical device industry. With over 30 years of experience in cardiology and medical device innovation, he has been instrumental in developing innovative cardiac diagnostic tools.","After graduating Medical School, he patented his first invention, a wrist-based pulse monitor. He then founded Corazonix Corp, which developed and commercialized a high-resolution ECG based on a personal computer (sold to Arrhythmia Research Technology in 1990)","Following Corazonix, Dr. Albert founded Data Critical Corp, which pioneered wireless ECG technology. It went public in 1999 and was acquired by GE Healthcare in 2001. Dr. Albert then served as Chief Scientist of GE Cardiology until 2004.","Dr. Albert left GE to found InnovAlarm and Lifetone Technology, focusing on developing products to save lives of people with hearing loss during fire emergencies. In 2011, he founded AliveCor, focusing on consumer-oriented personal ECG devices.","Has published over 100 abstracts and journal articles in cardiovascular literature; Holds 60 issued US patents, with 25 pending, including a system for comparing EKG data using ML algorithms (Patent#12097035), methods for monitoring blood pressure using mobile devices (Patent #11980451), & systems for cardiac monitoring and detecting arrhythmias (Patent #11903681)  ",AliveCor,"Dr. Albert had been nurturing the idea of a personal ECG device since the 1990s, driven by his vision to democratize cardiac care. The advent of smartphones in the late 2000s made this vision technologically feasible. In December 2010, he uploaded a YouTube video demonstrating a prototype iPhone ECG, which went viral and attracted significant attention from venture capitalists and industry partners. The overwhelming response served as the final catalyst for Dr. Albert to found AliveCor in 2011. Now, AliveCor has served millions of users, capturing over a million ECGs weekly and accumulating more than 190 million ECGs in total","AliveCor aims to transform cardiac care by providing innovative, AI-driven ECG solutions that empower individuals and healthcare providers to manage heart health proactively. The company's mission is to integrate advanced technology into everyday health practices, improving accessibility and outcomes in cardiac care. ","Dr. Albert has ""always believed that technology should enhance lives, not complicate them."" So, given his clinical experience, he applies his ""unique understanding of the potential for technology to alleviate doctors’ workloads and enhance partnership between patients and their care teams"" to ""oversee the creation and clinical validation of user-centric tools that patients."" He lives by the mantra, ""saving lives, one invention at a time,"" which he feels embodies the proactive mindset that is necessary to drive meaningful change. ",https://medium.com/authority-magazine/femtech-dr-david-e-albert-of-alivecor-on-how-their-technology-is-revolutionizing-womens-health-879ec073c60c 
Ethan Anderson,"Los Angeles, California, United States","BA in Economics, Public Policy, MMS",Duke University,1998,MBA,Harvard University,2003,"Ethan Anderson is a Silicon Valley entrepreneur, founder and CEO of MyTime, and previously co-founder and CEO of Redbeacon. He has experience in product management at Google and has worked in internet strategy and marketing roles at various companies.","He began at McKinsey & Company, where he worked for approximately 1.5 years on technology projects. After which, Anderson embarked on his first entrepreneurial venture by founding QuickReturns (discontinued after internet bubble burst).","After his initial entrepreneurial attempt, Anderson transitioned to more established roles in the tech industry. He served as the Director of Strategy & Analysis at Buy.com, before joining Google as a Product Manager. There, Anderson worked on high-profile projects including Google Video and Image Search.","Leveraging his experience from Google and his earlier entrepreneurial venture, Anderson co-founded Redbeacon in 2008, a platform connecting consumers with home service professionals (acquired by Home Depot in 2012). Following this success, Anderson founded MyTime, his current venture, which focuses on streamlining the booking process for local services.",Won Grand Prize at 2009 TechCrunch50 competition with Redbeacon; Named to Silicon Valley 100; Recognized as one of 16 Up-and-Coming Silicon Valley Entrepreneurs You Need to Meet,MyTime,"Ethan Anderson founded MyTime shortly after selling his previous company, Redbeacon, to Home Depot. The inspiration for MyTime came from Anderson's desire to build a retail experience for local services, aiming to create a marketplace that integrates scheduling, dynamic pricing, and real-time availability, focusing on fixed-price, fixed-availability services like haircuts, oil changes, and dentist appointments.","MyTime launched to consumers in 2013 with more than 500,000 appointments available for booking. The platform was designed to maximize revenue for businesses by reaching customers wherever they are at the moment they are ready to transact, while simplifying the booking process for consumers. At its core, the company's vision is to become the largest platform in the world for online scheduling and local commerce.","Anderson describes his vision for MyTime as ""to build a retail experience for shopping local services that rivals Amazon or Zappos in user experience."" He sees MyTime as potentially disruptive, aiming to serve the ""large, underserved market of 2+ million local businesses who still largely rely on pen, paper, and the telephone to manage and schedule their customers.""","https://streetfightmag.com/2013/03/13/why-redbeacon-founder-ethan-anderson-returned-to-local/, https://www.mytime.com/jobs/account_executives "
Jennifer Beall,"Los Angeles, California, United States","BS in Mathematics, Spanish Minor",Duke University,2005,MBA,Northwestern University,2010,"Jennifer Beall Saxton is the founder and CEO of Tot Squad, a platform connecting parents with parenting experts for various services from pregnancy to early childhood. With a background in math and business, Saxton has successfully pivoted her company from a physical service to a digital platform.","After graduating from Duke, Saxton worked in management consulting and strategy at Marakon Associates for three years, before going back to school for her MBA.","Saxton founded the first iteration of Tot Squad in 2011, focusing on cleaning baby strollers and other baby gear. This venture was inspired by her MBA project at Kellogg, where she won first place in the Kellogg Cup Business Plan Competition. The original Tot Squad business model, then known as CleanBeeBaby, involved physical services such as car-seat installation, cleaning services, and repairs for baby equipment."," In March 2020, Saxton sold the original Tot Squad business and relaunched Tot Squad as a platform connecting parents with parenting experts, partially in response to the changing market expectations brought by the COVID-19 pandemic. The new Tot Squad platform expanded the range of services offered, addressing a broader spectrum of parenting needs, acting as an ecosystem for parental needs.","Won first place in the Kellogg Cup Business Plan Competition at Northwestern University (was recognized as the Student of the Year in Entrepreneurship at Kellogg); Featured on CNBC, Fast Company, Forbes, Bloomberg BusinessWeek and The Doctors; Raised close to $2 million for the new iteration of Tot Squad",TotSquad,"Jennifer Beall Saxton's motivation for founding Tot Squad stems from her personal experiences as a new mother. Faced with the myriad challenges of parenthood, she saw the massive gap in accessible expert support for parents. Driven by a desire to alleviate the stress and uncertainty many parents face, Saxton envisioned TotSquad: a platform that would connect families with reliable parenting experts.","Tot Squad aims to simplify parenting by connecting families with expert support from pregnancy through early childhood. The platform offers a comprehensive range of services, both virtually and in-person, to address diverse parenting needs. Tot Squad's vision is to create an accessible, supportive ecosystem that empowers parents, making expert guidance readily available and fostering a community of confident caregivers.","Saxton describes her vision for Tot Squad as becoming ""the 'Geek Squad' for the baby industry."" She elaborates on this vision, stating, ""I had the epiphany that Tot Squad could become like the 'Geek Squad' for the baby industry, by developing in-store service kiosks for a big box baby retailer."" Regarding the company's mission and growth, Saxton says, ""I wanted to create a concept that moms and dads could rely on and trust, and this is what Tot Squad embodies.""","https://facesoffounders.org/could-this-women-led-and-run-franchise-model-produce-better-families-and-communities-13c81b8ab6ea, https://1851franchise.com/emerging-to-established-jennifer-beall-saxton-of-tot-squad-2705890"
Jason Begleiter,"Boulder, Colorado, United States",BSE in Electrical and Computer Engineering,Duke University,2010,,,,"Jason Begleiter was the co-founder and CEO of Parachute Health, a healthcare technology company that streamlined the ordering process for durable medical equipment (DME). With a background in economics and experience in healthcare technology, Begleiter has led Parachute Health to become a significant player in the digital health space.","Begleiter's first role was as a tech consultant for Deloitte, before leaving after a year to work on Meebo, a web-based messenger, as a technical account manager. Meebo would then be acquired by Google a year later.","Following the acquisition, Begleiter acted as product manager for the Google+ Platform, contributing much to the analytics codebase. He then brought this over to WebMD as the Head of Product Innovation. In 2015, Begleiter made a notable pivot into entrepreneurship, founding Parachute Health, a network directly connecting healthcare practitioners, service providers, insurance agencies, and patients.","Ensuing his success, Begleiter went on to be on the founding team on two healthcare startups, Eleanor Health and Sherlock, wherein btoh he acted as product roles. Since then, he's stepped down from full-time roles and now functions as a fractional CPO/Product Director.","Named to Forbes 30 Under 30 list in Healthcare in 2018; Featured in prominent publications such as TechCrunch, MedCity News, and Healthcare IT News; Raised over $34 million in funding from notable investors such as Harley Miller and Loeb.nyc for Parachute Health",Parachute Health,"Begleiter's motivation for founding Parachute Health stems from his co-founder's (David Gelbard) deeply personal experience. After witnessing his grandfather's struggle to receive necessary medical equipment due to administrative errors, he became acutely aware of the inefficiencies plaguing the healthcare system. This eye-opening incident ignited the solution that would not only prevent similar situations but also revolutionize the entire DME ordering process.","Parachute Health aims to modernize and simplify the healthcare equipment ordering process. By creating a seamless, digital ecosystem that connects all stakeholders in the DME supply chain, the company envisions a future where patients receive the equipment they need without delay or error, enhancing patient outcomes and reduce healthcare costs on a systemic level.","Per Gelbard, ""we're just replacing the fax-day workflow that exists today to connect this dot in the healthcare system."" Ideally, they replace the fax's sole role in ordering durable medical equipment - ""it's such a critical piece to solve, just because of the disproportionate impact on a patient.""",https://www.businessinsider.com/parachute-healths-e-prescribing-platform-for-medical-devices-2018-5
Brooks Bell,"Raleigh, North Carolina, United States",BA in Psychology,Duke University,2001,,,,"Brooks Bell is an established leader in conversion optimization and analytics, acting as the founder and executive chairman of Brooks Bell, Inc., a technology-enabled agency focused on solving complex business problems through experimentation for enterprise brands. Bell is also a recognized thought leader in entrepreneurship and an advocate for colon cancer awareness.","After graduating from Duke in 2001, Bell started her firm, Brooks Bell Inc., a consulting firm, in the early 2000s to help bring a data-driven mindset to digital marketing departments.",Bell grew her company to become a leading organization in the conversion optimization industry. She also co-founded HQ Raleigh (now Raleigh Founded) and ThinkHouse Raleigh to foster entrepreneurship in the community.,"After surviving colon cancer at age 38, Bell shifted her focus to advocacy. She founded Lead From Behind, an organization powered by the Colorectal Cancer Alliance, to raise awareness about colon cancer screening. She continues to serve on various boards and as an advocate for entrepreneurship and health awareness.","Founded Brooks Bell Inc., which has generated over $500 million in value for industry leaders; Co-founded HQ Raleigh and ThinkHouse Raleigh; Named among ""40 Under 40"" by Triangle Business Journal; Listed in ""Top 50 Entrepreneurs"" by Business Leader; Spoke at the 2016 Democratic National Convention; Founded Lead From Behind for colon cancer awareness",Brooks Bell,"Bell started her firm, Brooks Bell Inc., in the early 2000s with the goal of bringing a data-driven mindset to digital marketing departments; she aimed to help companies discover the people behind the data using advanced analytics, optimization, and personalization strategies. Bell saw an opportunity to become a leader in the emerging industry of conversion optimization, aiming to help businesses improve their digital presence and customer experience through scientific experimentation.","Brooks Bell Inc. aims to help companies discover the people behind the data through advanced analytics and optimization strategies, bringing a data-driven mindset to digital marketing. The company strives to learn about clients' customers with every test while driving business impact. Through customer-centric approaches and experimentation, Brooks Bell Inc. helps brands navigate complex marketing challenges, unlock sustainable growth, and improve overall business performance.","Bell describes her firm's goal as ""[improving] the testing workflow so that people are much better at creating the narrative, documenting it, and synthesizing it into transferable insights"" about customers. Outside the tangibles, she sees that her role ""gives you sort of existential stress about being responsible for your employees...What I have to accomplish is to help them to work together, work hard, and work smart. That responsibility keeps me up at night.""",https://grepbeat.com/2019/01/08/the-download-brooks-bell-ceo-brooks-bell-company/
Ari Bencuya,"Istanbul, Turkey","BS in Economics, MMS",Duke University,2006,,,,"Ari Bencuya is a serial entrepreneur and startup mentor with a keen ability to dissect business models and identify key pain points. His career spans various roles including founder, CEO, COO, and advisor across multiple startups and industries. Bencuya's expertise lies in the realms of analytics, e-commerce, and SaaS.","Following Duke, Bencuya had briefs stints as a Senior Business Analyst with the MLB and a Ventures Manager with Inventures. Taking from this exposure, he joined 8digits Ltd. in Turkey as an EIR, developing big analytics and marketing solutions for e-commerce marketers and site owners. He served as the CEO and Director of Product and Business Operations at 8digits.com.","Bencuya expanded his experience by taking on roles such as Chief Operating Officer at Advelvet (AI based revenue optimization for ad exchanges) and co-founder and COO of Synthesized Media (celebrity deepfakes). Both stints were short, and the startups ultimately failed. They were the last fully hands-on roles Bencuya would take.","In recent years, Bencuya has focused on advisory and mentorship roles. He served as Head of New Product Development for Lifemote Networks, became a Fellow at On Deck, and held advisory positions at MeetGeek and Datapad. Currently, he is the Head of Business Development at GrowthMentor, where he also works as a mentor.","Co-founded 8digits Ltd., developing innovative analytics solutions for e-commerce; Successfully transitioned from founder to C-level roles in multiple startups; Mentored over 200 startups as a mentor for accelerators; Founded or been an early employee at 5 start-ups and exited two",8Digits,"Bencuya's story is a unorthodox. He was tapped as the Entrepreneur in Residence in 8digits, being handed a dead B2B SaaS company - no revenue, no product. And so, he immediately tranditioned the 8digits into e-commerce as a simple marketing plugin for e-commerce platforms, before pivoting again into enterprise sales, as the cash runaway was too poor to maintain a full-SaaS product. For him, he was purely driven for the joy of entrepreneurship, rather than  a specific connection to an issue.","8digits aimed to revolutionize how e-commerce businesses use data to drive growth and improve customer experiences. By empowering enterprises with actionable insights derived from complex data sets, enabling them to make informed decisions about inventory, pricing, marketing, and customer engagement. They sought to have their users earn more out of their big data by delivering their right actions to the right customer at the right time.","Bencuya's most memorable business advice came as when a ""speaker said that he creates his goals by figuring out how to 'add a 0'…Surprisingly, this 'vague' question helps pinpoint the exact areas of the company that need to be improved, scaled, or automated.""",https://www.linkedin.com/posts/aribencuya_entrepreneurship-growth-adda0-activity-6821089797805760512-gT4Y
Melissa Bernstein,"Westport, Connecticut, United States",BA in Public Policy,Duke University,1987,,,,"Melissa Bernstein is a successful entrepreneur, creative innovator, and advocate for mental health awareness. She co-founded the renowned toy company Melissa & Doug in 1988, which grew from a garage startup to a major player in the children's toy industry. After decades of success in the toy business, Bernstein co-founded Lifelines, helping adults strengthen their resilience and enhancing their potential.","After graduating from Duke, Bernstein initially pursued a career in finance, working as a financial analyst on Wall Street. Though it was success in the eyes of her parents and society, she felt at odds, where, with the help of her partner, she decided that'd she create a product that ""would give us a reason to get out of bed each morning.""","In 1988, Bernstein co-founded Melissa & Doug with her husband, starting the company in his parents' garage. Over the next three decades, she helped grow Melissa & Doug into a highly successful toy company, designing thousands of toys focused on open-ended play and child development. It was at this late stage wheree Bernstein began losing passion for the now-formulaic job, inspiring her to write her book on her own personal journey.","Hence, in 2020, Bernstein co-founded Lifelines, a company focused on mental well-being and personal growth, motivated by her own struggles with existential depression and her journey of self-discovery. She sought to show how other persons could live a more authentic, joyful life, removing the festering philosophical condition that was existential depression.","Co-founded Melissa & Doug, growing it into a major toy company, acquired for ~$950 mil; Designed over 6,000 toys over three decades; Published a book about her personal journey, titled ""Lifelines,"" to which she named her new company focused on mental well-being after",Melissa & Doug,"Growing up, Bernstein grappled with existential depression, amplified by her time in finance. However, she found her personal calling in toys, where Bernstein and her husband Doug saw a world where kids were increasingly glued to screens, and they wanted to offer an alternative - toys that would encourage open-ended play and help children discover their own passions and purpose. To her, the toys were catalysts for imagination,  each a potential key to unlocking a child's unique potential.","Melissa & Doug believes open-ended play is essential for child development, creating toys that spark creativity, inspire learning, and grow with children. In a screen-heavy world, they offer engaging alternatives with timeless designs, emphasizing quality, value, and creativity; they aim to take ""tired, boring, lackluster categories"" and infuse them with new life. Since 1988, their mission has been to foster imagination and curiosity through simple, enduring toys that provide lasting joy and learning.","""I don't want to be CEO anymore. I want to be chief creative and bring products and content to life."" Fittingly, Bernstein's passion for her ventures stemmed from the creative aspects, much like her childhood where she ""was always creating, inventing, and coming up with ideas.""",https://www.fuqua.duke.edu/duke-fuqua-insights/melissa-bernstein-define-your-mission
Manick Bhan,"Las Vegas, Nevada, United States","BS in Psychology, MMS",Duke University,2009,,,,"Manick Bhan is a serial entrepreneur, technologist, and SEO expert. He's the founder and CTO of LinkGraph, a digital marketing agency, and the creator of SearchAtlas, an SEO software suite. Bhan's career has spanned from Wall Street to the tech industry, where he's made significant contributions in the fields of digital marketing and SEO.","At college, Bhan actually wanted to go into medicine. His deathly fear of blood made him choose otherwise. So, after Duke, Bhan began his career in investment banking at Goldman Sachs, where he worked in Corporate Derivatives from June 2009 to December 2012. He took from that a work ethic, business acumen, but most of all, he found his next passion in technology.","Seeing the tech boom and the rise of companies like Groupon and eBay, the energy pulled him into founding Rukkus, a mobile ticketing app, in February 2013. As CEO and CTO, he led the company until its acquisition in July 2018. They scrapped, lit their bank accounts on fire, but made it out - only without a penny. His investors profited, teammates left.","So, bringing his unresolved baggage, Bhan founded LinkGraph in September 2018, where he serves as CTO and Head of Product. Simultaneously, he created SearchAtlas, an SEO software suite. They represented his new focus on SEO and digital marketing - LinkGraph the service, Search Atlas the product.","Founded and sold Rukkus, a mobile ticketing app; Created SearchAtlas, a comprehensive SEO software suite; Named to the Inc. 5000 list of fastest-growing companies with LinkGraph; Winner of Trump's search awards; Keynote speaker at various industry conferences; Received A.B. Duke Full Academic Scholarship at Duke University",Rukkus,"While an analyst for Goldman Sachs, Bhan was part of an advisory team for the Ticketmaster/Live Nation merger. During this time, he found an interest in the market dynamics of the live entertainment industry, seeing an opportunity for a more transparent and informative ticket buying experience. He remarked: ""The ticketing industry hasn't evolved much since the first sellers moved online 15+ years ago. We were tired of overpriced inventory and getting shut out of major concerts and games and that frustration led me down this path.""","Rukkus aimed to revolutionize the secondary ticket market by providing a more transparent, informative, and user-friendly ticket buying experience. The company's vision included leveraging technology, particularly virtual reality, to enhance the ticket purchasing process and give customers a better understanding of what they're buying.","""I'm grateful that I didn't give up,"" Bhan reflects on his journey with Rukkus; his greatest takeaway for his success was overcoming the challenges of building Rukkus with limited funding: ""We had to be very judicious and really careful with all of our bets. And we didn't have a lot of room to make mistakes.""",https://manickbhan.com/who-is-manick-bhan/
