chosen founder,company,yr founded,location,industry,size,valuation (est.),business model,executive summary,management team,founding story,problem,products/services,market,traction,noteworthy details
Kunal Agarwal,Unravel Data,,,,,,,,,,,,,,
David Aktary,ERC dEX,,,,,,,,,,,,,,
David Albert,AliveCor,,,,,,,,,,,,,,
Ethan Anderson,MyTime,,,,,,,,,,,,,,
Jennifer Beall,TotSquad,,,,,,,,,,,,,,
Jason Begleiter,Parachute Health,,,,,,,,,,,,,,
Brooks Bell,Brooks Bell,,,,,,,,,,,,,,
Ari Bencuya,8Digits,,,,,,,,,,,,,,
Melissa Bernstein,Melissa & Doug,,,,,,,,,,,,,,
Manick Bhan,Rukkus,,,,,,,,,,,,,,
Tatiana Birgisson,MATI Energy,,,,,,,,,,,,,,
Lisa Blau,Able Partners,,,,,,,,,,,,,,
Bant Breen,Qnary,,,,,,,,,,,,,,
Tyler Brock,"Hustle, Inc.",,,,,,,,,,,,,,
Anne Claire Broughton,SJF Ventures,,,,,,,,,,,,,,
Bill Brown,NET Power,,,,,,,,,,,,,,
Andrew Busey,Conversable,,,,,,,,,,,,,,
Blake Byrnes,Ulixee,,,,,,,,,,,,,,
Sonny Caberwal,BOND,,,,,,,,,,,,,,
Scott Cadora,Medicare Pathfinder,,,,,,,,,,,,,,
Ryan Caldbeck,CircleUp,,,,,,,,,,,,,,
Marcelo Camberos,Ipsy ,,,,,,,,,,,,,,
Juan Pablo Capello,LAB Miami Ventures,,,,,,,,,,,,,,
Jed Carlson,Adwerx,,,,,,,,,,,,,,
Lori Cashman,Victress Capital,,,,,,,,,,,,,,
Bora Chang,KelaHealth,,,,,,,,,,,,,,
Nicholas Chang,Favor,,,,,,,,,,,,,,
Charlene Chen,BitPesa,,,,,,,,,,,,,,
Rachael Chong,Catchafire,,,,,,,,,,,,,,
Lin Chua,InterNex Capital,,,,,,,,,,,,,,
Rachel Cook,Seeds,,,,,,,,,,,,,,
Dan Corkum,Carbon Robotics,,,,,,,,,,,,,,
Gonzalo Costa,NXTP Labs,,,,,,,,,,,,,,
David Cummings,Atlanta Tech Village,,,,,,,,,,,,,,
Jack Davis,CryptTV,,,,,,,,,,,,,,
Stephen Dean,Keona Health,,,,,,,,,,,,,,
Uki Deane,Bermies,,,,,,,,,,,,,,
John Dex,MPIRICA,,,,,,,,,,,,,,
Harrison Dillon,Solazyme,,,,,,,,,,,,,,
Mackenzie Drazan,MiResource,,,,,,,,,,,,,,
Aaron Duke ,CirrusMD,,,,,,,,,,,,,,
Ivonna Dumanyan,Fathom AI,,,,,,,,,,,,,,
Fred Ehrsam,Coinbase,,,,,,,,,,,,,,
Basil Enan,Discors,,,,,,,,,,,,,,
Jason Ethier,Dynamo Micropower,,,,,,,,,,,,,,
Dan Evans,RecoverX,,,,,,,,,,,,,,
Russell Fadel,Augmentir,,,,,,,,,,,,,,
Dan Feldstein,RED Ventures,,,,,,,,,,,,,,
Josh Felser,Freestyle Capital,,,,,,,,,,,,,,
Andrew First,Leanplum,,,,,,,,,,,,,,
Kathryn Fortunato,Lizza Fortuno Jewels,,,,,,,,,,,,,,
Lizze Fortunato,Lizza Fortuno Jewels,,,,,,,,,,,,,,
Amanda Freeman,SLT Fitness,,,,,,,,,,,,,,
Eric Futoran,Scopely,,,,,,,,,,,,,,
Dylan Gambardella,Next Gen Summit,,,,,,,,,,,,,,
Hareesh Ganesan,Towerview Health,,,,,,,,,,,,,,
Pamir Gelenbe,CoinSummit,,,,,,,,,,,,,,
Chuck Ghoorah,Cvent,,,,,,,,,,,,,,
Maria Gibbs,Invanti,,,,,,,,,,,,,,
Bob Gilbreath,Ahalogy,,,,,,,,,,,,,,
Russel Glass,Bizo,,,,,,,,,,,,,,
Sarah Glatt,Paper Crane Associates,,,,,,,,,,,,,,
Jennifer Goldfarb,Ipsy,,,,,,,,,,,,,,
